Entity Name,Description,Category,Views,View Highlight,Area,Sub Area,Image,Link,DeSmog Profile,Show,Fixed,X,Y,More Info
Adam Waterous,,,"1,11,13","11,13",,,,,,TRUE,TRUE,914,485.2,
Alberta Proud,,,"1,6,7",7,,,https://i.ibb.co/WN7CXx5m/Alberta-Proud.png,,https://www.desmog.com/canada-proud/,TRUE,TRUE,789,785.2,
Andrew Coyne,,,"1,5,8",5,,,https://i.ibb.co/wFMPRXpc/Coyne.png,,https://www.desmog.com/andrew-coyne/,TRUE,TRUE,439,635.2,
Atlas Network,,,"1,2,3,4,5,13","2,3,4,5,13",,,https://i.ibb.co/bRrhp8GL/Atlas-Network.png,https://www.desmog.com/atlas-economic-research-foundation/,https://www.desmog.com/atlas-economic-research-foundation/,TRUE,TRUE,489,835.2,
Aurea Foundation,,,"1,5",5,,,https://i.ibb.co/gF3mJQ5h/Aurea.jpg,,https://www.desmog.com/aurea-foundation/,TRUE,TRUE,464,660.2,
Birchcliff Energy,,,"1,11,13,16","13,16",,,,,,TRUE,TRUE,714,210.2,
Brian Felesky,,,"1,16",16,,,https://i.ibb.co/gMC7FGxJ/Felesky.jpg,,,TRUE,TRUE,589,485.2,
C.D. Howe Institute,,,1,,,,,,,FALSE,FALSE,,,
Canada Action,,,"1,17",17,,,https://i.ibb.co/v4HsbPyR/CAN-ACTION.jpg,,https://www.desmog.com/canada-action/,TRUE,TRUE,289,835.2,
Canada Proud,,,"1,6,7,12","6,7",,,https://i.ibb.co/G4QzQfFw/Canada-Proud.png,https://www.desmog.com/canada-proud,,TRUE,TRUE,814,835.2,
Canada Strong and Free Network,,,"1,6,7,13,16","6,7,13,16",,,https://i.ibb.co/gbsYyknw/Canada-Strong-and-Free.png,https://www.desmog.com/canada-strong-and-free-network/,,TRUE,TRUE,664,835.2,
Canada Strong and Proud,,,"1,6,7,13,16","7,13,16",,,https://i.ibb.co/Xr9RGmZn/Canada-Strong-and-Proud.png,,,TRUE,TRUE,764,760.2,
CAPP,,,"1,13,16","13,16",,,,,,TRUE,TRUE,639,360.2,
Canadian Constititution Foundation,,,"1,2,5",,,,https://i.ibb.co/Z6fyPwNx/Can-Constitution-Found.png,,https://www.desmog.com/canadian-constitution-foundation/,TRUE,TRUE,539,860.2,
Canadian Energy Centre,,,1,,,,https://i.ibb.co/PsVctMm3/CEC.png,,https://www.desmog.com/canadian-energy-centre-cec/,FALSE,FALSE,,,
Canadian Natural Resources,,,"1,13,14,13,16,17","13,14,16,17",,,https://i.ibb.co/0j6pKj7P/CNR.png,,,TRUE,TRUE,339,210.2,
Cenovus,,,"1,13,14,13,16,17","13,14,16,17",,,https://i.ibb.co/kgh4pjsL/Cenovus.png,,,TRUE,TRUE,264,210.2,
Charles Koch,,,"1,4",4,,,"
https://i.ibb.co/3mMnhfwM/Koch.jpg",,,TRUE,TRUE,214,485.2,
Danielle Smith,,,1,,,,https://i.ibb.co/C3nCRwLy/Danielle.png,,,FALSE,FALSE,,,
Ezra Levant/Rebel News,,,"1,8",,,,,,,FALSE,FALSE,,,
Fierement Nouveau-Brunswick,,,"1,6,7,13","7,13",,,,,,TRUE,TRUE,714,810.2,
Fraser Institute,,,"1,2,3,4,5,13","3,4,11",,,https://i.ibb.co/cXgfvDQr/Fraser.png,https://www.desmog.com/fraser-institute/,https://www.desmog.com/fraser-institute/,TRUE,TRUE,439,810.2,
Friends of Free Enterprise In Canada,,,"1,11,13","11,13",,,https://i.ibb.co/Pv9CXsRK/FFEC.png,,,TRUE,TRUE,1139,835.2,
Frontier Centre for Public Policy,,,"1,2,5",,,,https://i.ibb.co/j9KF3yV4/Frontier-Centre.png,,https://www.desmog.com/frontier-centre-public-policy/,TRUE,TRUE,539,810.2,
Gwyn Morgan,"<b><a href=""https://www.desmog.com/gwyn-morgan/"">Gwyn Morgan</a></b> is a former CEO of Canadian natural resource companies using his money and connections in the energy industry and media to advance a pro-fossil fuels, right-wing agenda.",,"1,2,3,5,6,8,9,10,11","1,2,3,5,6,8,9,10,11",,,https://i.ibb.co/LzbppFw9/Gwyn.png,https://www.desmog.com/gwyn-morgan/,https://www.desmog.com/gwyn-morgan/,TRUE,TRUE,714,485.2,
Gwyn Morgan and Patricia Trottier Foundation,,,"1,2,6,8,10","2,6,8,10",,,https://i.ibb.co/nMHVNGHM/Gwyn-Found.png,https://www.desmog.com/gwyn-morgan-and-patricia-trottier-foundation/,https://www.desmog.com/gwyn-morgan/,TRUE,TRUE,739,510.2,
