A,B,Note,Source,Text
Alberta Prosperity Project,Al Biel,Endorsed,https://edmontonjournal.com/news/politics/independence-supporters-take-ucp-board-positions,"Alberta Prosperity Project, <i>Endorsed</i>:<br>Al Biel"
Angela Pitt,Alberta First Cabinet Policy Committee,Member,https://discoverairdrie.com/articles/airdrie-east-mla-angela-pitt-named-to-alberta-first-cabinet-committee,"Angela Pitt, <i>Member</i>:<br>Alberta First Cabinet Policy Committee"
Jason Stephan,Alberta First Cabinet Policy Committee,Member,https://discoverairdrie.com/articles/airdrie-east-mla-angela-pitt-named-to-alberta-first-cabinet-committee,"Jason Stephan, <i>Member</i>:<br>Alberta First Cabinet Policy Committee"
Joseph Schow,Alberta First Cabinet Policy Committee,Member,https://discoverairdrie.com/articles/airdrie-east-mla-angela-pitt-named-to-alberta-first-cabinet-committee,"Joseph Schow, <i>Member</i>:<br>Alberta First Cabinet Policy Committee"
Grant Hunter,Alberta First Cabinet Policy Committee,Member,https://discoverairdrie.com/articles/airdrie-east-mla-angela-pitt-named-to-alberta-first-cabinet-committee,"Grant Hunter, <i>Member</i>:<br>Alberta First Cabinet Policy Committee"
Brian Jean,Alberta First Cabinet Policy Committee,Member,https://discoverairdrie.com/articles/airdrie-east-mla-angela-pitt-named-to-alberta-first-cabinet-committee,"Brian Jean, <i>Member</i>:<br>Alberta First Cabinet Policy Committee"
Nate Horner,Alberta First Cabinet Policy Committee,Member,https://discoverairdrie.com/articles/airdrie-east-mla-angela-pitt-named-to-alberta-first-cabinet-committee,"Nate Horner, <i>Member</i>:<br>Alberta First Cabinet Policy Committee"
Mickey Amery,Alberta First Cabinet Policy Committee,Member,https://discoverairdrie.com/articles/airdrie-east-mla-angela-pitt-named-to-alberta-first-cabinet-committee,"Mickey Amery, <i>Member</i>:<br>Alberta First Cabinet Policy Committee"
Danielle Smith,Alberta First Cabinet Policy Committee,Member,https://discoverairdrie.com/articles/airdrie-east-mla-angela-pitt-named-to-alberta-first-cabinet-committee,"Danielle Smith, <i>Member</i>:<br>Alberta First Cabinet Policy Committee"
Glenn van Dijken,Alberta First Cabinet Policy Committee,Chair,https://discoverairdrie.com/articles/airdrie-east-mla-angela-pitt-named-to-alberta-first-cabinet-committee,"Glenn van Dijken, <i>Chair</i>:<br>Alberta First Cabinet Policy Committee"
Bob Blayone,Alberta Prosperity Project,Former director and co-founder,,"Bob Blayone, <i>Former director and co-founder</i>:<br>Alberta Prosperity Project"
Chris Scott,Alberta Prosperity Project,Member,https://albertaprosperityproject.com/alberta-prosperity-project-articles/advancing-apps-vision-at-the-ucp-agm/,"Chris Scott, <i>Member</i>:<br>Alberta Prosperity Project"
David Steckenreiter,Alberta Prosperity Project,"VP, Education",https://web.archive.org/web/20230112041205/https://albertaprosperityproject.com/wp-content/uploads/2022/02/David-Steckenreiter.pdf,"David Steckenreiter, <i>VP, Education</i>:<br>Alberta Prosperity Project"
Dennis Modry,Alberta Prosperity Project,Former CEO,,"Dennis Modry, <i>Former CEO</i>:<br>Alberta Prosperity Project"
Jeff Rath,Alberta Prosperity Project,Co-founder,,"Jeff Rath, <i>Co-founder</i>:<br>Alberta Prosperity Project"
Marco Van Huigenbos,Alberta Prosperity Project,Member,https://albertaprosperityproject.com/alberta-prosperity-project-articles/advancing-apps-vision-at-the-ucp-agm/,"Marco Van Huigenbos, <i>Member</i>:<br>Alberta Prosperity Project"
Mitch Sylvestre,Alberta Prosperity Project,CEO,,"Mitch Sylvestre, <i>CEO</i>:<br>Alberta Prosperity Project"
Peter Downing,Alberta USA Foundation,Founded,https://edmontonjournal.com/news/politics/wexit-co-founder-wants-alberta-to-become-part-of-the-u-s,"Peter Downing, <i>Founded</i>:<br>Alberta USA Foundation"
Paul McGregor,America Fund,Member,https://www.cbc.ca/radio/asithappens/bowden-51st-state-billboard-1.7468264#,"Paul McGregor, <i>Member</i>:<br>America Fund"
Peter Downing,America Fund,Member,https://www.cbc.ca/radio/asithappens/bowden-51st-state-billboard-1.7468264#,"Peter Downing, <i>Member</i>:<br>America Fund"
Dennis Modry,Alberta Prosperity Project,Member,https://albertaprosperityproject.com/press-release/washington-affirms-support-for-alberta-independence/,"Dennis Modry, <i>Member</i>:<br>Alberta Prosperity Project"
Jeff Rath,Alberta Prosperity Project,Member,https://www.westernstandard.news/news/alberta-sovereignty-delegation-to-us-confirmed/63474,"Jeff Rath, <i>Member</i>:<br>Alberta Prosperity Project"
Mitch Sylvestre,Alberta Prosperity Project,Member,https://www.westernstandard.news/news/alberta-sovereignty-delegation-to-us-confirmed/63475,"Mitch Sylvestre, <i>Member</i>:<br>Alberta Prosperity Project"
Rob Anders,Alberta Prosperity Project,Member,https://www.westernstandard.news/news/alberta-sovereignty-delegation-to-us-confirmed/63476,"Rob Anders, <i>Member</i>:<br>Alberta Prosperity Project"
LaVar Payne,Alberta Prosperity Project,Member,https://www.westernstandard.news/news/alberta-sovereignty-delegation-to-us-confirmed/63477,"LaVar Payne, <i>Member</i>:<br>Alberta Prosperity Project"
Rob Anderson,Danielle Smith,Works for,,"Rob Anderson, <i>Works for</i>:<br>Danielle Smith"
Angela Pitt,Free Alberta Strategy,Supporter,https://www.producer.com/news/alberta-the-nation-mlas-seek-sovereignty/,"Angela Pitt, <i>Supporter</i>:<br>Free Alberta Strategy"
